professor_name,polarity,subjectivity
Leslie  Looney,0.298853325,0.610146978
Jans  Wager,0.295758697,0.551752067
Robert  Warden,-0.004885362,0.527610229
Bryan  Eldredge,0.298980159,0.615436508
William  Hollinrake,-0.045838217,0.532262515
Lauren  Baumbach,-0.021947662,0.616581939
Beverly  Faunce,0.093045113,0.615037594
Deborah  Pluss,0.23937249,0.652866466
Lauren  Bold,0.254603175,0.479365079
Mary  Richardson,0.137711749,0.657896175
Tracey  Francese,0.143397515,0.542847989
Candice  White,0.191001443,0.557744228
Pat  Ledbetter,0.143025092,0.602683578
Juanita  Campos,0.196525298,0.547269345
Ann  Lewald,0.187863598,0.602412778
Hon  Linda,0.332361111,0.60875
Ruben  Mouhiddan,0.2,0.480769231
Margaret  Mitchell,0.33989418,0.653597884
Diane  Reid,0.326050447,0.61817734
John  Cunningham,0.116728044,0.541735309
Wolfgang  Ziller,0.335897436,0.493589744
Clark,0.006968439,0.684551495
Sally  Mallory,-0.068993506,0.624025974
Deirdre  O\' Shea,0.15608951,0.689147785
Robin  Hochstrasser,0.422222222,0.726666667
Rich  Carter,0.135121869,0.56669898
Mara  Merlino,-0.094618056,0.538888889
Michael  Scarlatos,-0.202333754,0.582460017
Tina  Keeble,0.101450321,0.598365385
Eleanor  Branch,0.106679894,0.467414021
Virgina  Rivers,0.25781746,0.558650794
Mulloy  Robertson,-0.046658817,0.589362899
Dana  Baylard,0.251547784,0.505585979
Mima  Petrovic,0.213149123,0.560403509
Joan  Krone,0.10134451,0.523342256
Nancy  Jones,0.270363907,0.581895258
Jim  Pletcher,0.128282526,0.552970696
Anita  Hampton,0.000156695,0.584330484
Panos  Alexakos,0.181380401,0.535117935
Jeffrey  Kent,0.242294744,0.530110229
Bill  Sanders,0.014638158,0.61443609
Angelica  Vessella,0.348095584,0.587889027
Ian  Gellatly,0.103999405,0.598168651
Karen  Carr,0.110258119,0.545931265
Wayne Charles  Hippo,0.337125,0.696888889
Sue  Davis,0.256486698,0.591584507
Melody  Ward,0.265625,0.60462963
Sharon  Teague,-0.004628029,0.603006154
Carol  McClure,0.022011307,0.597795173
Vincent  Sherry,0.055555556,0.422222222
Charles  Cherry,0.150537634,0.535698925
Ionna  Ghenciu,0.064215686,0.540522876
Joann  Hilton,0.313383838,0.548295455
Paul  Grobstein,0.299301738,0.545855062
Penny  Foster,0.104993307,0.602838019
Dennis  Crockett,0.346679487,0.650264957
Thomas  Boyle,0.144943556,0.63699407
Kurt  Panter,0.04301299,0.508287291
Itzhak  Kerstein,0.257027778,0.662195767
Alvin  Snadowsky,0.265643004,0.615823045
Ian  McMahan,0.021553265,0.606039345
Charles  Green,0.097804979,0.579968628
Matthew  Erdelyi,0.030095535,0.57772096
Harihar  Khanal,0.196890399,0.558157712
Robert  Brannon,0.2492308,0.603314895
Robert  Lecker,0.077257064,0.593918297
Weinberger,0.262920525,0.533958333
Daniel  Kurylo,0.124864418,0.568276014
Andrew  Delamater,0.01811968,0.561494709
Israel  Abramov,-0.037758392,0.633194062
John  MacKo,0.364455782,0.631122449
Aaron  Kozbelt,0.206639477,0.549581496
Dorathea  Halpert,-0.123092254,0.653933368
Phillip  Anz-Meador,0.078932068,0.574674733
Thomas  Pynadath,0.165004596,0.528688142
Solomon  Eisenberg,0,0.76
Kenneth  Loparo,0.200416292,0.591133573
Thomas  Hirschl,0.041979847,0.62875817
Michael  Scanlin,0.314322344,0.631868132
Peter  Jurs,0.052001892,0.575472888
Ryan  Stark,0.279344789,0.605599727
Ashraf  Shirani,0.043350989,0.642966102
Martha  Browne,-0.015383449,0.557518281
Jean  Craig-Teerlink,0.068581349,0.633118386
Donna  Chambers,0.3148625,0.600066667
Kathy  Brooks,0.603333333,0.56
Tom  Johnson,0.007475326,0.573385226
John  Moliassa,0.167422969,0.605942377
Roger  Strong,0.198321759,0.566293724
Carl  Pratt,0.303983333,0.589822222
Mary  Winn,0.05617808,0.62687513
Deidre  Condit,0.166109423,0.562837682
Marlos  Scrimger,0.188296013,0.557955404
Thomas  Cooke,0.138867521,0.573913309
Lashun  Griffin,0.072515212,0.555348545
Ellis  Jones,0.200238891,0.520791904
Peter  Kuhlman,0.386267818,0.57478512
Vike,0.511969697,0.618484848
Desmond  Hamlet,0.063633513,0.571729391
Eric  Winters,0.155041667,0.629583333
Orlando  Pascoa,0.510083333,0.773888889
Melissa  Knous,0.203016675,0.579446779
Kathryn  Denning,0.3436278,0.549054018
Darcy  Irvin,0.212969907,0.597097222
Paul  Bender,0.275221631,0.642316785
Burlon  Wilkerson,0.086188823,0.623826058
Carol  Bennet,0.337280702,0.504239766
Kristen  Asplin,0.203011439,0.583989486
Kate  Greene,0.232722999,0.569871463
Carey  Hissey,0.336695402,0.566321839
David  Pearson,0.159404762,0.441904762
Chris  Ramsey,0.289166667,0.532546296
David  Rayson,0.279193122,0.572873016
Arthur  Kroker,0.27805408,0.618817231
Ted  Tarkow,0.318266747,0.650468119
Max  Smith,-0.052888573,0.608130869
Jeff  Price,0.091970284,0.541537468
Lowell  Taylor,0.399454365,0.58655754
James  Davig,-0.113107639,0.562152778
Brenda  Nordenstam,-0.239583333,0.459375
Colin  Jerolmack,0.349763402,0.551554358
Ian  Wojcik-Andrews,0.224439967,0.570046253
Daniel  Laskarin,0.173667285,0.542807669
Amin  Ibrahim,0.191632812,0.5539375
Lynne  Schubert,-0.050706547,0.492510684
Christopher  Bracken,0.149939598,0.546893173
Kim  Finn,0.22835829,0.561588542
Rose  Vydelingum,-0.180916119,0.562664204
Robert  Christie,0.019511379,0.567319277
Kenneth  Riegle,0.091852481,0.482551005
Anthony  Zoccolilo,0.299124729,0.592157738
George  Curry,0.35375,0.423333333
Scott  Bergeson,0.197871053,0.526863414
Guy  King,0.188378605,0.675397384
Debra  Clarke,0.387236842,0.583684211
Leah  Kaser,0.268377193,0.66562753
Irv  Englander,0.032128603,0.641935778
Husam  Quereshi,0.253949935,0.620618026
