professor_name,neg,neu,pos,compound,judge
Leslie  Looney,0.057,0.629,0.314,0.9998,positive
Jans  Wager,0.038,0.655,0.307,0.9999,positive
Robert  Warden,0.105,0.728,0.167,0.9566,positive
Bryan  Eldredge,0.046,0.703,0.251,0.9994,positive
William  Hollinrake,0.129,0.786,0.085,-0.9936,negative
Lauren  Baumbach,0.152,0.702,0.145,-0.5211,negative
Beverly  Faunce,0.071,0.791,0.138,0.9027,positive
Deborah  Pluss,0.04,0.696,0.264,0.9996,positive
Lauren  Bold,0.0,0.642,0.358,0.9053,positive
Mary  Richardson,0.09,0.681,0.228,0.998,positive
Tracey  Francese,0.052,0.853,0.095,0.9733,positive
Candice  White,0.08,0.676,0.244,0.9996,positive
Pat  Ledbetter,0.051,0.77,0.179,0.9994,positive
Juanita  Campos,0.061,0.732,0.207,0.9995,positive
Ann  Lewald,0.1,0.634,0.266,0.9991,positive
Hon  Linda,0.023,0.641,0.336,0.9931,positive
Ruben  Mouhiddan,0.069,0.737,0.193,0.9655,positive
Margaret  Mitchell,0.031,0.615,0.354,0.9987,positive
Diane  Reid,0.035,0.671,0.294,0.9998,positive
John  Cunningham,0.082,0.716,0.202,0.9984,positive
Wolfgang  Ziller,0.024,0.681,0.295,0.9523,positive
Clark,0.121,0.772,0.106,-0.8413,negative
Sally  Mallory,0.123,0.784,0.093,-0.4517,nuetral
Deirdre  O\' Shea,0.059,0.706,0.235,0.9998,positive
Robin  Hochstrasser,0.163,0.701,0.136,0.0041,nuetral
Rich  Carter,0.075,0.75,0.175,0.9986,positive
Mara  Merlino,0.225,0.694,0.081,-0.9321,negative
Michael  Scarlatos,0.182,0.706,0.112,-0.9925,negative
Tina  Keeble,0.111,0.695,0.195,0.9368,positive
Eleanor  Branch,0.031,0.808,0.16,0.9969,positive
Virgina  Rivers,0.016,0.793,0.191,0.9896,positive
Mulloy  Robertson,0.12,0.778,0.103,-0.7995,negative
Dana  Baylard,0.025,0.706,0.27,0.9993,positive
Mima  Petrovic,0.058,0.75,0.192,0.9989,positive
Joan  Krone,0.089,0.817,0.094,0.6063,positive
Nancy  Jones,0.057,0.788,0.155,0.9919,positive
Jim  Pletcher,0.119,0.665,0.216,0.9957,positive
Anita  Hampton,0.091,0.776,0.132,0.9684,positive
Panos  Alexakos,0.084,0.756,0.16,0.9987,positive
Jeffrey  Kent,0.026,0.728,0.246,0.9998,positive
Bill  Sanders,0.138,0.738,0.124,-0.8369,negative
Angelica  Vessella,0.029,0.688,0.282,0.9997,positive
Ian  Gellatly,0.102,0.736,0.162,0.9963,positive
Karen  Carr,0.092,0.767,0.141,0.9966,positive
Wayne Charles  Hippo,0.048,0.737,0.215,0.9491,positive
Sue  Davis,0.053,0.713,0.234,0.9988,positive
Melody  Ward,0.041,0.708,0.251,0.9839,positive
Sharon  Teague,0.121,0.767,0.112,-0.6189,negative
Carol  McClure,0.084,0.765,0.151,0.9966,positive
Vincent  Sherry,0.038,0.729,0.233,0.8271,positive
Charles  Cherry,0.059,0.749,0.192,0.9953,positive
Ionna  Ghenciu,0.109,0.712,0.179,0.8687,positive
Joann  Hilton,0.024,0.64,0.336,0.9973,positive
Paul  Grobstein,0.04,0.699,0.261,0.9988,positive
Penny  Foster,0.07,0.752,0.178,0.9982,positive
Dennis  Crockett,0.038,0.651,0.311,0.9986,positive
Thomas  Boyle,0.06,0.715,0.225,0.9992,positive
Kurt  Panter,0.093,0.733,0.174,0.9943,positive
Itzhak  Kerstein,0.055,0.725,0.219,0.9975,positive
Alvin  Snadowsky,0.028,0.7,0.272,0.9995,positive
Ian  McMahan,0.113,0.726,0.161,0.9936,positive
Charles  Green,0.108,0.751,0.141,0.9927,positive
Matthew  Erdelyi,0.1,0.822,0.077,-0.9784,negative
Harihar  Khanal,0.054,0.741,0.205,0.9995,positive
Robert  Brannon,0.049,0.676,0.275,0.9998,positive
Robert  Lecker,0.124,0.705,0.171,0.9943,positive
Weinberger,0.066,0.66,0.274,0.9994,positive
Daniel  Kurylo,0.1,0.697,0.203,0.9993,positive
Andrew  Delamater,0.14,0.704,0.156,0.9739,positive
Israel  Abramov,0.155,0.697,0.147,0.7707,positive
John  MacKo,0.071,0.77,0.159,0.9408,positive
Aaron  Kozbelt,0.066,0.703,0.231,0.9996,positive
Dorathea  Halpert,0.172,0.695,0.133,-0.9894,negative
Phillip  Anz-Meador,0.092,0.693,0.215,0.9978,positive
Thomas  Pynadath,0.126,0.729,0.145,0.8261,positive
Solomon  Eisenberg,0.172,0.748,0.081,-0.8783,negative
Kenneth  Loparo,0.049,0.666,0.285,0.9989,positive
Thomas  Hirschl,0.136,0.699,0.164,0.9902,positive
Michael  Scanlin,0.026,0.603,0.37,0.9997,positive
Peter  Jurs,0.108,0.707,0.185,0.9933,positive
Ryan  Stark,0.036,0.607,0.357,0.9998,positive
Ashraf  Shirani,0.102,0.739,0.158,0.9972,positive
Martha  Browne,0.15,0.758,0.092,-0.9961,negative
Jean  Craig-Teerlink,0.16,0.66,0.18,0.9404,positive
Donna  Chambers,0.024,0.664,0.311,0.9996,positive
Kathy  Brooks,0.0,0.485,0.515,0.8169,positive
Tom  Johnson,0.124,0.768,0.108,-0.8894,negative
John  Moliassa,0.071,0.697,0.232,0.9997,positive
Roger  Strong,0.082,0.735,0.184,0.9994,positive
Carl  Pratt,0.045,0.681,0.274,0.994,positive
